Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.262,1.08577590435743E-02,7.95559864491224E-03,-4.05047467211261E-04
0.264,1.10218152403831E-02,8.13799537718296E-03,-4.11251094192267E-04
0.266,1.11870486289263E-02,8.32315348088741E-03,-4.17512812418863E-04
0.268,1.13534508273005E-02,8.51107947528362E-03,-4.23821154981852E-04
0.27,1.15210264921188E-02,8.70179757475853E-03,-4.30176180088893E-04
0.272,1.16897691041231E-02,8.89532547444105E-03,-4.36577713117003E-04
0.274,0.011859679594636,9.0916845947504E-03,-4.43025870481506E-04
0.276,1.20307570323348E-02,9.29089542478323E-03,-4.49520593974739E-04
0.278,1.22029976919293E-02,9.49297659099102E-03,-4.56061708973721E-04
0.28,1.23763959854841E-02,9.69794951379299E-03,-4.62662428617477E-04
0.282,1.25509584322572E-02,9.90583095699549E-03,-4.69296617666259E-04
0.284,1.27266803756356E-02,1.01166451349854E-02,-4.75977343739942E-04
0.286,1.29035590216517E-02,1.03304069489241E-02,-4.82704403111711E-04
0.288,1.30815915763378E-02,1.05471396818757E-02,-4.89477824885398E-04
0.29,1.32607752457261E-02,1.07668591663241E-02,-4.9629743443802E-04
0.292,1.34411109611392E-02,1.09895914793015E-02,-5.03163260873407E-04
0.294,1.36225931346416E-02,1.12153412774205E-02,-5.10060635861009E-04
0.296,1.38052254915237E-02,1.14441569894552E-02,-5.17033506184816E-04
0.298,1.39890033751726E-02,1.16760283708572E-02,-5.24022965691984E-04
0.3,1.41739239916205E-02,1.19109945371747E-02,-5.31073193997145E-04
0.302,1.43599873408675E-02,1.21490675956011E-02,-5.38169522769749E-04
0.304,1.45471878349781E-02,0.012390268035233,-5.45311835594475E-04
0.306,1.47355310618877E-02,1.26346172764897E-02,-5.52500248886645E-04
0.308,1.49250039830804E-02,0.012882131151855,-5.59734413400292E-04
0.31,1.51156103238463E-02,1.31328282877803E-02,-5.6701444555074E-04
0.312,1.53073538094759E-02,1.33867375552654E-02,-5.7434051996097E-04
0.314,1.55002223327756E-02,1.36438682675362E-02,-5.81712229177356E-04
0.316,1.56942196190357E-02,1.39042474329472E-02,-5.89129806030542E-04
0.318,1.58893428742886E-02,1.41678899526596E-02,-5.96593075897545E-04
0.32,1.60855948925018E-02,1.44348181784153E-02,-6.04102155193686E-04
0.322,1.62829626351595E-02,1.47050470113754E-02,-6.11656636465341E-04
0.324,1.64814479649067E-02,1.49785932153463E-02,-6.1925669433549E-04
0.326,1.66810546070337E-02,1.52554893866181E-02,-6.26902503427118E-04
0.328,1.68817732483149E-02,0.015535743907094,-6.34593598078936E-04
0.33,1.70836094766855E-02,1.58193856477737E-02,-6.4233026932925E-04
0.332,0.01728655397892,1.61064192652702E-02,-6.50112342555076E-04
0.334,1.74906104803085E-02,1.63968782871962E-02,-6.57939817756414E-04
0.336,1.76957715302706E-02,1.66907738894224E-02,-6.65812462102622E-04
0.338,1.79020334035158E-02,1.69881284236908E-02,-6.7373039200902E-04
0.34,1.81093979626894E-02,1.72889567911625E-02,-6.81693374644965E-04
0.342,1.83178670704365E-02,1.75932850688696E-02,-6.89701642841101E-04
0.344,1.85274351388216E-02,1.79011300206184E-02,-6.97755138389766E-04
0.346,1.87380965799093E-02,1.82125102728605E-02,-7.05853570252657E-04
0.348,1.89498513936996E-02,1.85274463146925E-02,-7.13997113052756E-04
0.35,1.91626995801926E-02,1.88459530472755E-02,-7.22185475751758E-04
0.352,1.93766374140978E-02,1.91680565476418E-02,-7.30418832972646E-04
0.354,1.95916574448347E-02,1.94937661290169E-02,-7.38696951884776E-04
0.356,1.98077633976936E-02,0.019823107868433,-7.47019832488149E-04
0.358,2.00249552726746E-02,2.01561022549868E-02,-7.55387591198087E-04
0.36,2.02432218939066E-02,2.04927604645491E-02,-7.63799878768623E-04
0.362,2.04625744372606E-02,0.020833108574152,-7.72235216572881E-04
0.364,2.06829961389303E-02,0.021177165210247,-7.80736387241632E-04
0.366,2.09044963121414E-02,2.15249564498663E-02,-7.89304787758738E-04
0.368,2.11270619183779E-02,2.18764767050743E-02,-7.97872547991574E-04
0.37,2.13506892323494E-02,2.22317650914192E-02,-8.06530064437538E-04
0.372,2.15753950178623E-02,2.25908420979977E-02,-8.15209525171667E-04
0.374,2.18011569231749E-02,2.29537170380354E-02,-8.23933223728091E-04
0.376,2.20279861241579E-02,2.33204159885645E-02,-8.32701160106808E-04
0.378,2.22558677196503E-02,2.36909464001656E-02,-8.41513101477176E-04
0.38,2.24848110228777E-02,2.40653399378061E-02,-8.50369338877499E-04
0.382,2.27148067206144E-02,2.44436040520668E-02,-8.5924455197528E-04
0.384,2.29458454996347E-02,2.48257592320442E-02,-8.68188159074634E-04
0.386,0.023177944123745,2.52118427306414E-02,-8.77176062203944E-04
0.388,2.34110895544291E-02,2.56018564105034E-02,-8.86207912117243E-04
0.39,2.36452668905258E-02,0.025995809584856,-8.95283184945583E-04
0.392,0.023880498483777,2.63937450945377E-02,-9.04402462765575E-04
0.394,2.41167694330215E-02,2.67956722527742E-02,-9.13565629161894E-04
0.396,2.43540722876787E-02,2.72016022354364E-02,-9.22772276680916E-04
0.398,2.45924014598131E-02,2.76115518063307E-02,-9.32022114284337E-04
0.4,2.48317755758762E-02,2.80255507677794E-02,-9.41316015087068E-04
0.402,2.50721611082554E-02,2.84436102956533E-02,-9.50681162066758E-04
0.404,2.53135934472084E-02,2.88657546043396E-02,-9.60062199737877E-04
0.406,2.55560372024775E-02,2.92919967323542E-02,-9.69486252870411E-04
0.408,2.57994998246431E-02,2.97223515808582E-02,-9.7895332146436E-04
0.41,2.60439906269312E-02,3.01568526774645E-02,-9.88464104011655E-04
0.412,0.026289489120245,3.05955056101084E-02,-9.98017378151417E-04
0.414,2.65360064804554E-02,3.10383308678865E-02,-1.00761419162154E-03
0.416,2.67835296690464E-02,3.14853452146053E-02,-1.0172538459301E-03
0.418,2.70320661365986E-02,3.19365747272968E-02,-1.02693645749241E-03
0.42,2.72815953940153E-02,3.23920175433159E-02,-1.03666144423187E-03
0.422,2.75321397930384E-02,3.28517183661461E-02,-1.0463974904269E-03
0.424,2.77836844325066E-02,0.033315684646368,-1.0562080424279E-03
0.426,2.80362255871296E-02,3.37839424610138E-02,-1.06606120243669E-03
0.428,2.82897558063269E-02,3.42564843595028E-02,-1.0759566212073E-03
0.43,2.85442769527435E-02,0.034733347594738,-1.0858946479857E-03
0.432,2.87997853010893E-02,3.52145470678806E-02,-1.09587493352592E-03
0.434,2.90562864392996E-02,3.57001125812531E-02,-1.10589782707393E-03
0.436,2.93137673288584E-02,3.61900478601456E-02,-1.11596286296844E-03
0.438,2.95722298324108E-02,3.66843678057194E-02,-1.12607015762478E-03
0.44,2.98316720873117E-02,3.71831133961678E-02,-1.1362194782123E-03
0.442,3.00920829176903E-02,3.76862660050392E-02,-1.14641082473099E-03
0.444,3.03534734994173E-02,3.81938815116882E-02,-1.15664419718087E-03
0.446,3.06158270686865E-02,3.87059450149536E-02,-1.1669194791466E-03
0.448,0.030879145488143,3.92224825918674E-02,-1.17723632138222E-03
0.45,3.11434362083673E-02,3.97435389459133E-02,-1.18759518954903E-03
0.452,3.14086824655533E-02,4.02691029012203E-02,-1.19799573440105E-03
0.454,3.16748842597008E-02,4.07992005348206E-02,-1.20843772310764E-03
0.456,3.19420471787453E-02,4.13338392972946E-02,-1.21893314644694E-03
0.458,3.22101600468159E-02,4.18730601668358E-02,-1.22945813927799E-03
0.46,0.032479215413332,4.24168556928635E-02,-1.24002445954829E-03
0.462,3.27492244541645E-02,4.29652892053127E-02,-1.25062011647969E-03
0.464,3.30201759934425E-02,4.35183122754097E-02,-1.26128108240664E-03
0.466,3.32920625805855E-02,4.40759770572186E-02,-1.27197080291808E-03
0.468,3.35648879408836E-02,4.46383319795132E-02,-1.28268951084465E-03
0.47,3.38386557996273E-02,4.52053472399712E-02,-1.29346153698862E-03
0.472,3.41133438050747E-02,4.57770526409149E-02,-1.3042741920799E-03
0.474,0.034388966858387,4.63534481823444E-02,-1.31512759253383E-03
0.476,3.46655026078224E-02,4.69345785677433E-02,-1.32602162193507E-03
0.478,3.49429808557034E-02,4.75204698741436E-02,-1.33696955163032E-03
0.48,3.52213717997074E-02,4.81111109256744E-02,-1.34794495534152E-03
0.482,3.55006754398346E-02,4.87065501511097E-02,-1.35896098800004E-03
0.484,3.57808917760849E-02,4.93067614734173E-02,-1.37001706752926E-03
0.486,3.60620208084583E-02,0.049911804497242,-1.3811137760058E-03
0.488,0.036344051361084,5.05216792225838E-02,-1.39225041493773E-03
0.49,3.66269908845425E-02,5.11363931000233E-02,-1.40342733357102E-03
0.492,3.69108319282532E-02,5.17559796571732E-02,-1.41464429907501E-03
0.494,3.71955595910549E-02,5.23804351687431E-02,-1.42590084578842E-03
0.496,3.74811924993992E-02,0.053009819239378,-1.43719755578786E-03
0.498,3.77677194774151E-02,5.36441057920456E-02,-1.44853419624269E-03
0.5,3.80551293492317E-02,5.42833246290684E-02,-1.4599101850763E-03
0.502,3.83434258401394E-02,5.49274906516075E-02,-1.47132587153465E-03
0.504,3.86326014995575E-02,5.55766373872757E-02,-1.48278113920242E-03
0.506,3.89226637780666E-02,5.62307797372341E-02,-1.49427598807961E-03
0.508,0.039213590323925,5.68898804485798E-02,-1.50576140731573E-03
0.51,3.95053923130035E-02,0.057554055005312,-1.51738279964775E-03
0.512,3.97980622947216E-02,5.82232289016247E-02,-1.52899499516934E-03
0.514,4.00916002690792E-02,5.88974766433239E-02,-1.54064642265439E-03
0.516,4.03860025107861E-02,5.95767870545387E-02,-1.55233673285693E-03
0.518,0.040681254118681,6.02611713111401E-02,-1.56406569294631E-03
0.52,0.040977381169796,6.09506815671921E-02,-1.57583388499916E-03
0.522,4.12743464112282E-02,6.16452917456627E-02,-1.5876404941082E-03
0.524,0.041572168469429,0.062345065176487,-1.59948586951941E-03
0.526,4.18708324432373E-02,6.30499720573425E-02,-1.61136931274086E-03
0.528,4.21703308820724E-02,6.37600421905518E-02,-1.62329117301852E-03
0.53,4.24706786870956E-02,6.44752755761147E-02,-1.63519766647369E-03
0.532,4.27718721330166E-02,6.51957914233208E-02,-1.64725049398839E-03
0.534,4.30738851428032E-02,6.59214779734612E-02,-1.65928713977337E-03
0.536,4.33767139911652E-02,0.0666523873806,-1.67136127129197E-03
0.538,4.36803959310055E-02,0.067388579249382,-1.68347428552806E-03
0.54,4.39848862588406E-02,6.81300014257431E-02,-1.69556820765138E-03
0.542,4.42901998758316E-02,6.88767656683922E-02,-1.70781265478581E-03
0.544,4.45963256061077E-02,6.96287825703621E-02,-1.72003812622279E-03
0.546,4.49032671749592E-02,7.03861191868782E-02,-1.73224392347038E-03
0.548,4.52110171318054E-02,7.11488053202629E-02,-1.74454401712865E-03
0.55,4.55195717513561E-02,7.19168707728386E-02,-1.75694026984274E-03
0.552,4.58289310336113E-02,7.26902782917023E-02,-1.76931545138359E-03
0.554,4.61390912532806E-02,7.34690576791763E-02,-1.78172788582742E-03
0.556,0.046450037509203,0.074253261089325,-1.79417722392827E-03
0.558,4.67617735266685E-02,7.50428512692451E-02,-1.8066632328555E-03
0.56,4.70743030309677E-02,7.58378803730011E-02,-1.81918637827039E-03
0.562,4.73876185715199E-02,7.66383558511734E-02,-1.83174596168101E-03
0.564,4.77017164230347E-02,7.74442926049232E-02,-1.84434244874865E-03
0.566,4.80165891349316E-02,7.82557129859924E-02,-1.85697537381202E-03
0.568,4.83322329819202E-02,7.90726318955421E-02,-1.8696446204558E-03
