Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
21.8,-1.50664520333521E-04,-6.41485457890667E-05,6.60175574012101E-05
21.9,-1.65088757057674E-04,-6.85111008351669E-05,7.06057689967565E-05
22,-1.86286983080208E-04,-7.17465009074658E-05,7.39746465114877E-05
22.1,-2.11662045330741E-04,-7.33888155082241E-05,7.56859008106403E-05
22.2,-2.37944113905542E-04,-7.31894106138498E-05,7.55157161620446E-05
22.3,-2.61693319771439E-04,-7.11588800186291E-05,7.35275461920537E-05
22.4,-2.7982541359961E-04,-6.75688352202997E-05,7.00253804097883E-05
22.5,-2.90087715256959E-04,-6.29112691967748E-05,6.55247058602981E-05
22.6,-2.91393953375518E-04,-5.78231956751551E-05,6.06683315709233E-05
22.7,-2.83976987702772E-04,-5.29883291164879E-05,5.61252818442881E-05
22.8,-2.6932408218272E-04,-4.9031379603548E-05,5.2488441724563E-05
22.9,-2.49915523454547E-04,-4.64229997305665E-05,5.01842114317697E-05
23,-2.28799151955172E-04,-4.5408265577862E-05,4.94111445732415E-05
23.1,-2.09086923860013E-04,-4.59767688880675E-05,5.01207759953104E-05
23.2,-1.934411120601E-04,-4.78691654279828E-05,5.20145404152572E-05
23.3,-1.83649448445067E-04,-5.06296237290371E-05,5.46413975825999E-05
23.4,-1.80346047272906E-04,-5.36868465133011E-05,5.74445948586799E-05
23.5,-1.82934221811593E-04,-5.64548827242106E-05,5.9865451476071E-05
23.6,-1.89714628504589E-04,-5.84354747843463E-05,6.14596210652962E-05
23.7,-1.98205947526731E-04,-5.93044060224202E-05,6.1959661252331E-05
23.8,-2.05590127734467E-04,-5.89690134802368E-05,6.13264128332958E-05
23.9,-2.09224279387854E-04,-5.75836056668777E-05,5.97561120230239E-05
24,-2.07114848308265E-04,-5.55248661839869E-05,5.76488782826345E-05
24.1,-1.98290421394631E-04,-5.33266647835262E-05,5.55405131308362E-05
24.2,-1.82995383511297E-04,-5.15886349603534E-05,5.40110340807587E-05
24.3,-1.62685435498133E-04,-5.08714038005564E-05,5.35850267624483E-05
24.4,-1.39812094857916E-04,-5.15974024892785E-05,5.463917113957E-05
24.5,-1.17438008601312E-04,-5.39724132977426E-05,5.73328907194082E-05
24.6,-9.87439780146815E-05,-5.79433617531322E-05,6.15749013377354E-05
24.7,-8.65092151798308E-05,-6.31987786618993E-05,6.7029737692792E-05
24.8,-8.2651553384494E-05,-6.92110043019056E-05,7.31638501747511E-05
24.9,-8.7899315985851E-05,-7.53155909478664E-05,7.93256549513899E-05
25,-1.0165562707698E-04,-8.08151817182079E-05,8.48440467962064E-05
25.1,-1.22075231047347E-04,-8.5087631305214E-05,8.91314921318553E-05
25.2,-1.46341073559597E-04,-8.76853810041212E-05,9.17747966013849E-05
25.3,-1.71097097336315E-04,-8.84057808434591E-05,9.25967106013559E-05
25.4,-1.92964915186167E-04,-8.73234967002645E-05,9.1682821221184E-05
25.5,-2.09066638490185E-04,-8.47766859806143E-05,8.93641117727384E-05
25.6,-2.17455235542729E-04,-8.13124861451797E-05,8.61625594552606E-05
25.7,-2.17401553527452E-04,-7.75980515754782E-05,8.27065960038453E-05
25.8,-2.09471865673549E-04,-7.43124401196837E-05,7.96295498730615E-05
25.9,-1.95401546079665E-04,-7.20391108188778E-05,7.74711661506444E-05
26,-1.77774374606088E-04,-7.11725006112829E-05,7.65921286074445E-05
26.1,-1.59568822709844E-04,-7.18597148079425E-05,7.7123062510509E-05
26.2,-1.43650700920261E-04,-7.39816532586701E-05,7.8949575254228E-05
26.3,-1.32279805256985E-04,-7.71804334362969E-05,8.17399923107587E-05
26.4,-1.26737562823109E-04,-8.09259290690534E-05,8.50072101457044E-05
26.5,-1.27115155919455E-04,-8.46112379804254E-05,8.81985542946495E-05
26.6,-1.32312066853046E-04,-8.76613485161215E-05,9.07945868675597E-05
26.7,-1.40233431011438E-04,-8.96352576091886E-05,9.24021005630493E-05
26.8,-1.48167411680333E-04,-9.03066320461221E-05,9.28273948375136E-05
