*Time (s),Line A (?)
697,-3.74E-04
698,-4.97E-04
699,-5.93E-04
700,-6.19E-04
701,-5.57E-04
702,-4.14E-04
703,-2.24E-04
704,-3.84E-05
705,8.86E-05
706,1.21E-04
707,5.08E-05
708,-9.91E-05
709,-2.82E-04
710,-4.39E-04
711,-5.13E-04
712,-4.66E-04
713,-2.89E-04
714,-9.08E-06
715,3.16E-04
716,6.20E-04
717,8.45E-04
718,9.66E-04
719,9.89E-04
720,9.47E-04
721,8.81E-04
722,8.30E-04
723,8.21E-04
724,8.59E-04
725,9.37E-04
726,1.03E-03
727,1.11E-03
728,1.15E-03
729,1.11E-03
730,9.99E-04
731,8.03E-04
732,5.41E-04
733,2.45E-04
734,-4.18E-05
735,-2.69E-04
736,-3.94E-04
737,-3.89E-04
738,-2.65E-04
739,-6.57E-05
740,1.32E-04
741,2.51E-04
742,2.34E-04
743,7.26E-05
744,-2.04E-04
745,-5.29E-04
746,-8.25E-04
747,-1.02E-03
748,-1.06E-03
749,-9.42E-04
750,-7.07E-04
751,-4.30E-04
752,-2.06E-04
753,-1.19E-04
754,-2.13E-04
755,-4.81E-04
756,-8.66E-04
757,-1.27E-03
758,-1.59E-03
759,-1.74E-03
760,-1.66E-03
761,-1.39E-03
762,-1.00E-03
763,-6.24E-04
764,-3.66E-04
765,-2.79E-04
766,-3.49E-04
767,-4.91E-04
768,-5.91E-04
769,-5.48E-04
770,-3.03E-04
771,1.40E-04
772,7.17E-04
773,1.33E-03
774,1.89E-03
775,2.30E-03
776,2.54E-03
777,2.58E-03
778,2.46E-03
779,2.19E-03
780,1.84E-03
781,1.45E-03
782,1.08E-03
783,7.48E-04
784,5.02E-04
785,3.68E-04
786,3.44E-04
787,4.14E-04
788,5.39E-04
789,6.66E-04
790,7.34E-04
791,6.87E-04
792,4.98E-04
793,1.79E-04
794,-2.18E-04
795,-6.14E-04
796,-9.16E-04
797,-1.05E-03
798,-9.88E-04
799,-7.47E-04
800,-3.98E-04
801,-3.60E-05
802,2.48E-04
803,3.95E-04
804,3.85E-04
805,2.37E-04
806,-1.27E-06
807,-2.73E-04
808,-5.23E-04
809,-6.98E-04
810,-7.80E-04
811,-7.56E-04
812,-6.62E-04
813,-5.39E-04
814,-4.49E-04
815,-4.47E-04
816,-5.79E-04
817,-8.47E-04
818,-1.22E-03
819,-1.63E-03
820,-1.99E-03
821,-2.18E-03
822,-2.13E-03
823,-1.82E-03
824,-1.31E-03
825,-6.93E-04
826,-1.17E-04
827,3.21E-04
828,5.68E-04
829,6.48E-04
830,6.15E-04
831,5.55E-04
832,5.40E-04
833,6.23E-04
834,8.21E-04
835,1.12E-03
836,1.49E-03
837,1.88E-03
838,2.24E-03
839,2.52E-03
840,2.70E-03
841,2.73E-03
842,2.63E-03
843,2.38E-03
844,2.03E-03
845,1.57E-03
846,1.07E-03
847,5.50E-04
848,7.63E-05
849,-3.07E-04
850,-5.49E-04
851,-6.26E-04
852,-5.43E-04
853,-3.47E-04
854,-1.26E-04
855,2.04E-05
856,1.52E-05
857,-1.54E-04
858,-4.38E-04
859,-7.29E-04
860,-9.12E-04
861,-9.03E-04
862,-6.77E-04
863,-2.82E-04
864,1.84E-04
865,6.05E-04
866,8.81E-04
867,9.54E-04
868,8.18E-04
869,4.96E-04
870,4.67E-05
871,-4.60E-04
872,-9.51E-04
873,-1.35E-03
874,-1.59E-03
875,-1.63E-03
876,-1.48E-03
877,-1.19E-03
878,-8.97E-04
879,-7.39E-04
880,-8.21E-04
881,-1.15E-03
882,-1.62E-03
883,-2.05E-03
884,-2.25E-03
885,-2.09E-03
